name,city,state,price,lat,lon
Arcadia,Arcadia,LA,3.2190000000000003,32.5489683,-92.9217754
Arcadia,Arcadia,WI,3.31566666,44.2527212,-91.5014893
Ardmore,Ardmore,OK,3.439,34.1729273,-97.1309119
Ardmore,Ardmore,TN,3.599,34.9922618,-86.8436773
Arkadelphia,Arkadelphia,AR,3.529,34.1209292,-93.053784
Arlington,Arlington,WA,4.179,48.1896827,-122.1288887
Arnett,Arnett,OK,3.23233333,36.1349641,-99.7710699
Artesia,Artesia,NM,3.419,32.8423345,-104.4032963
Ash Fork,Ash Fork,AZ,3.329,35.216333,-112.4913858
Ashdown,Ashdown,AR,3.299,33.67344,-94.1299625
Asheboro,Asheboro,NC,3.54233333,35.7079146,-79.8136446
Asherton,Asherton,TX,3.259,28.4464946,-99.7620766
Ashford,Ashford,AL,3.599,31.1838319,-85.2358439
Ashland,Ashland,KY,3.669,38.4784144,-82.6379387
Ashland,Ashland,OH,3.349,40.7887367,-82.2360391
Ashland,Ashland,PA,3.699,40.7817542,-76.3457825
Ashland,Ashland,VA,3.5769999980000002,37.7594012,-77.4806603
Ashland,Ashland,WI,3.699,46.2062319,-90.6802594
Ashley,Ashley,IN,3.59733333,41.5272725,-85.0655232
Ashville,Ashville,OH,3.095666665,39.7156186,-82.9529584
Aspermont,Aspermont,TX,3.36566666,33.1382394,-100.228715
Atalissa,Atalissa,IA,3.01566666,41.5711357,-91.1659888
Atchison,Atchison,KS,3.279,39.545816,-95.3326052
Athens,Athens,GA,3.355666665,33.9597677,-83.376398
Athens,Athens,TN,3.348166665,35.4428864,-84.5930113
Atkins,Atkins,AR,3.34066666,35.2450217,-92.937615
Atkins,Atkins,VA,3.349,36.8687315,-81.3944053
Atkinson,Atkinson,IL,3.4756666666666667,41.4208678,-90.0151121
Atlanta,Atlanta,GA,3.378814811111111,33.7544657,-84.3898151
Atlanta,Atlanta,IL,3.399,40.2596504,-89.2332466
Atmore,Atmore,AL,3.19733333,31.0237921,-87.4938708
Atoka,Atoka,OK,3.2835833325,34.3284948,-96.017838
Attapulgus,Attapulgus,GA,3.699,30.7495931,-84.4838714
Atwood,Atwood,CO,3.299,40.5457265,-103.2798124
Aubrey,Aubrey,TX,2.899,33.3142085,-96.9756323
Auburn,Auburn,ME,3.899,44.0965374,-70.2249487
Auburn,Auburn,NH,3.799,43.0045289,-71.348398
Audubon,Audubon,IA,3.31566666,41.670205,-94.9106526
